Ano,Codigo_Municipio,Municipio,UF,Matriculas_Total,Matriculas_Publica,Matriculas_Federal,Matriculas_Estadual,Matriculas_Municipal,Matriculas_Privada,Matriculas_Presencial,Matriculas_EAD,Ingressantes,Concluintes
2015,1200013,Acrelândia,Acre,384,37,37,0,0,347,0.0,384.0,155.0,60.0
2015,1200104,Brasiléia,Acre,758,30,30,0,0,728,1.0,757.0,283.0,159.0
2015,1200203,Cruzeiro do Sul,Acre,4359,2371,2371,0,0,1988,2529.0,1830.0,1459.0,579.0
2015,1200302,Feijó,Acre,317,2,2,0,0,315,2.0,315.0,153.0,75.0
2015,1200401,Rio Branco,Acre,28654,7625,7625,0,0,21029,22203.0,6451.0,9241.0,3337.0
2015,1200500,Sena Madureira,Acre,329,172,172,0,0,157,144.0,185.0,178.0,50.0
2015,1200609,Tarauacá,Acre,359,2,2,0,0,357,0.0,359.0,136.0,71.0
2015,1200708,Xapuri,Acre,313,313,313,0,0,0,296.0,17.0,74.0,33.0
2015,2700300,Arapiraca,Alagoas,13703,6689,3689,3000,0,7014,8470.0,5233.0,3696.0,2087.0
2015,2700706,Batalha,Alagoas,16,0,0,0,0,16,0.0,16.0,0.0,5.0
2015,2701001,Boca da Mata,Alagoas,84,84,0,84,0,0,84.0,0.0,0.0,0.0
2015,2702405,Delmiro Gouveia,Alagoas,1910,1788,1788,0,0,122,1776.0,134.0,552.0,91.0
2015,2704005,Junqueiro,Alagoas,67,0,0,0,0,67,0.0,67.0,18.0,13.0
2015,2704302,Maceió,Alagoas,71711,20167,18130,2037,0,51544,62706.0,9005.0,23865.0,9636.0
2015,2704500,Maragogi,Alagoas,790,790,790,0,0,0,0.0,790.0,22.0,67.0
2015,2704708,Marechal Deodoro,Alagoas,249,249,249,0,0,0,249.0,0.0,73.0,15.0
2015,2704807,Maribondo,Alagoas,44,0,0,0,0,44,0.0,44.0,12.0,4.0
2015,2705507,Murici,Alagoas,197,0,0,0,0,197,0.0,197.0,31.0,78.0
2015,2705705,Olho d'Água das Flores,Alagoas,1411,281,281,0,0,1130,0.0,1411.0,374.0,275.0
2015,2706307,Palmeira dos Índios,Alagoas,4869,2654,1123,1531,0,2215,3798.0,1071.0,1121.0,652.0
2015,2706703,Penedo,Alagoas,1028,660,629,31,0,368,924.0,104.0,316.0,95.0
2015,2706406,Pão de Açúcar,Alagoas,833,0,0,0,0,833,833.0,0.0,77.0,339.0
2015,2707701,Rio Largo,Alagoas,942,942,942,0,0,0,942.0,0.0,339.0,99.0
2015,2708006,Santana do Ipanema,Alagoas,1716,1716,968,748,0,0,1211.0,505.0,347.0,121.0
2015,2708907,Satuba,Alagoas,97,97,97,0,0,0,97.0,0.0,0.0,2.0
2015,2708303,São José da Laje,Alagoas,217,217,217,0,0,0,0.0,217.0,0.0,14.0
2015,2708600,São Miguel dos Campos,Alagoas,661,637,0,637,0,24,637.0,24.0,73.0,77.0
2015,2709152,Teotônio Vilela,Alagoas,73,73,0,73,0,0,73.0,0.0,0.0,0.0
2015,2709301,União dos Palmares,Alagoas,568,494,0,494,0,74,494.0,74.0,96.0,20.0
2015,2709400,Viçosa,Alagoas,203,203,203,0,0,0,203.0,0.0,39.0,19.0
2015,1600279,Laranjal do Jari,Amapá,144,144,144,0,0,0,144.0,0.0,71.0,22.0
2015,1600303,Macapá,Amapá,41634,11008,7875,3133,0,30626,32327.0,9307.0,15757.0,4669.0
2015,1600402,Mazagão,Amapá,110,110,110,0,0,0,110.0,0.0,120.0,0.0
2015,1600501,Oiapoque,Amapá,1032,924,924,0,0,108,924.0,108.0,365.0,17.0
2015,1600600,Santana,Amapá,2037,530,530,0,0,1507,1510.0,527.0,917.0,211.0
2015,1300060,Amaturá,Amazonas,2,2,0,2,0,0,2.0,0.0,0.0,0.0
2015,1300102,Anori,Amazonas,152,152,0,152,0,0,152.0,0.0,117.0,36.0
2015,1300144,Apuí,Amazonas,89,89,0,89,0,0,89.0,0.0,39.0,25.0
2015,1300300,Autazes,Amazonas,113,113,0,113,0,0,113.0,0.0,114.0,0.0
2015,1300409,Barcelos,Amazonas,116,116,0,116,0,0,116.0,0.0,85.0,32.0
2015,1300508,Barreirinha,Amazonas,115,115,0,115,0,0,115.0,0.0,73.0,0.0
2015,1300607,Benjamin Constant,Amazonas,1631,1631,1630,1,0,0,1631.0,0.0,282.0,96.0
2015,1300631,Beruri,Amazonas,99,99,0,99,0,0,99.0,0.0,42.0,30.0
2015,1300680,Boa Vista do Ramos,Amazonas,74,74,0,74,0,0,74.0,0.0,76.0,0.0
2015,1300706,Boca do Acre,Amazonas,241,241,0,241,0,0,241.0,0.0,114.0,25.0
2015,1300805,Borba,Amazonas,93,93,0,93,0,0,93.0,0.0,40.0,28.0
2015,1301001,Carauari,Amazonas,269,269,0,269,0,0,269.0,0.0,83.0,19.0
2015,1301100,Careiro,Amazonas,95,95,0,95,0,0,95.0,0.0,40.0,0.0
2015,1301209,Coari,Amazonas,3267,2691,2473,218,0,576,1685.0,1582.0,657.0,477.0
2015,1301308,Codajás,Amazonas,35,35,0,35,0,0,35.0,0.0,0.0,35.0
2015,1301407,Eirunepé,Amazonas,240,240,0,240,0,0,240.0,0.0,117.0,32.0
2015,1301506,Envira,Amazonas,57,57,0,57,0,0,57.0,0.0,58.0,0.0
2015,1301605,Fonte Boa,Amazonas,160,160,0,160,0,0,160.0,0.0,40.0,37.0
2015,1301704,Humaitá,Amazonas,1733,1733,1428,305,0,0,1733.0,0.0,391.0,154.0
2015,1301803,Ipixuna,Amazonas,73,73,0,73,0,0,73.0,0.0,77.0,0.0
2015,1301852,Iranduba,Amazonas,111,111,0,111,0,0,111.0,0.0,90.0,30.0
2015,1301902,Itacoatiara,Amazonas,3605,2959,2346,613,0,646,2959.0,646.0,864.0,274.0
2015,1301951,Itamarati,Amazonas,90,90,0,90,0,0,90.0,0.0,63.0,28.0
2015,1302009,Itapiranga,Amazonas,96,96,0,96,0,0,96.0,0.0,40.0,34.0
2015,1302108,Japurá,Amazonas,65,65,0,65,0,0,65.0,0.0,39.0,0.0
2015,1302207,Juruá,Amazonas,61,61,0,61,0,0,61.0,0.0,39.0,21.0
2015,1302306,Jutaí,Amazonas,109,109,0,109,0,0,109.0,0.0,78.0,34.0
2015,1302405,Lábrea,Amazonas,213,213,0,213,0,0,213.0,0.0,81.0,25.0
2015,1302504,Manacapuru,Amazonas,353,353,0,353,0,0,353.0,0.0,79.0,80.0
2015,1302603,Manaus,Amazonas,154529,34137,26046,8091,0,120392,138739.0,15790.0,56431.0,27565.0
2015,1302702,Manicoré,Amazonas,304,304,0,304,0,0,304.0,0.0,78.0,113.0
2015,1302801,Maraã,Amazonas,220,220,0,220,0,0,220.0,0.0,41.0,22.0
2015,1302900,Maués,Amazonas,312,312,0,312,0,0,312.0,0.0,83.0,127.0
2015,1303007,Nhamundá,Amazonas,74,74,0,74,0,0,74.0,0.0,80.0,0.0
2015,1303106,Nova Olinda do Norte,Amazonas,79,79,0,79,0,0,79.0,0.0,81.0,0.0
2015,1303205,Novo Airão,Amazonas,64,64,0,64,0,0,64.0,0.0,0.0,37.0
2015,1303304,Novo Aripuanã,Amazonas,285,285,0,285,0,0,285.0,0.0,80.0,29.0
2015,1303403,Parintins,Amazonas,4294,3673,1827,1846,0,621,3673.0,621.0,1017.0,519.0
