Ano,UF,Local,Pop_0_3,Pop_4_5,Pop_6_10,Pop_11_14,Pop_15_17
2015,BR,Brasil,11780826,5785757,15053218,12881924,10232071
2016,BR,Brasil,11791280,5810159,14836559,12664861,10100360
2017,BR,Brasil,11747039,5811376,14657356,12489424,9913320
2018,BR,Brasil,11708753,5825071,14576271,12290765,9708689
2019,BR,Brasil,11584006,5912557,14515444,12109676,9536699
2020,BR,Brasil,11425888,5909382,14506745,11946696,9397552
2021,BR,Brasil,11241825,5783926,14609268,11760371,9286697
2022,BR,Brasil,10918060,5762481,14637187,11666586,9133765
2023,BR,Brasil,10551292,5770617,14585029,11619557,8990030
2024,BR,Brasil,10257789,5628472,14587693,11580753,8855925
2025,BR,Brasil,10006389,5426768,14529076,11621809,8754302
2015,AC,Acre,66845,32409,88980,72937,53397
2016,AC,Acre,66058,32931,86278,72726,53884
2017,AC,Acre,65487,32599,84005,72196,54009
2018,AC,Acre,65011,32087,82528,71128,53856
2019,AC,Acre,64244,32516,80423,70065,53563
2020,AC,Acre,63524,32145,79034,68624,53174
2021,AC,Acre,62835,31079,79291,66117,52577
2022,AC,Acre,61340,30974,78728,64298,51581
2023,AC,Acre,59128,31318,77423,62872,50688
2024,AC,Acre,57408,30672,77096,61340,49553
2025,AC,Acre,55733,29606,76661,61312,47595
2015,AL,Alagoas,209982,105312,275860,235281,187734
2016,AL,Alagoas,206198,104550,269542,229174,184090
2017,AL,Alagoas,202055,103186,264374,224129,178814
2018,AL,Alagoas,200630,101649,260766,219099,172906
2019,AL,Alagoas,199595,100557,256688,215624,167892
2020,AL,Alagoas,198003,98890,253073,211951,163942
2021,AL,Alagoas,196630,96434,251048,207370,160751
2022,AL,Alagoas,191920,97082,247511,204559,157104
2023,AL,Alagoas,186114,98627,243357,201111,154643
2024,AL,Alagoas,182195,96330,241542,198279,151943
2025,AL,Alagoas,177876,93294,240363,196531,149120
2015,AP,Amapá,63254,31012,76405,63473,48862
2016,AP,Amapá,63913,30200,75716,62775,48688
2017,AP,Amapá,63885,29935,75471,61510,48123
2018,AP,Amapá,63244,30900,74827,60136,47365
2019,AP,Amapá,62570,31524,74382,58990,46618
2020,AP,Amapá,61711,31102,74241,58410,45987
2021,AP,Amapá,60993,30358,74317,58342,44835
2022,AP,Amapá,59490,30162,74270,58258,43613
2023,AP,Amapá,56911,30286,74442,57524,42648
2024,AP,Amapá,54667,29595,74479,56719,42816
2025,AP,Amapá,52475,28701,73844,56807,43016
2015,AM,Amazonas,327236,156628,397453,313316,242339
2016,AM,Amazonas,326733,157168,397241,311124,241317
2017,AM,Amazonas,323021,159430,394919,311394,238162
2018,AM,Amazonas,317775,161972,393803,312729,234214
2019,AM,Amazonas,312113,164025,393285,314677,231797
2020,AM,Amazonas,308426,160844,394172,316279,230937
2021,AM,Amazonas,306918,154990,397107,314551,231841
2022,AM,Amazonas,303285,152878,397669,311795,233201
2023,AM,Amazonas,295627,152776,394666,310222,234767
2024,AM,Amazonas,288553,150975,391020,309386,235338
2025,AM,Amazonas,280769,149677,385465,312283,233663
2015,BA,Bahia,822623,420840,1117548,968449,766390
2016,BA,Bahia,815604,415598,1093847,948391,754825
2017,BA,Bahia,810325,409117,1073816,928033,738392
2018,BA,Bahia,810140,401972,1058551,907839,720772
2019,BA,Bahia,803812,403290,1040769,890978,705815
2020,BA,Bahia,791881,404922,1023948,874902,693301
2021,BA,Bahia,776841,400161,1016663,859516,679206
2022,BA,Bahia,750664,400025,1010325,846330,663450
2023,BA,Bahia,719392,399105,1002286,833123,650167
2024,BA,Bahia,693532,386903,1001463,818430,640615
2025,BA,Bahia,670878,371988,999334,807401,630786
2015,CE,Ceará,517299,260448,687681,589516,482163
2016,CE,Ceará,518871,258160,677868,574775,471121
2017,CE,Ceará,518396,255237,666014,566058,457661
2018,CE,Ceará,520242,253625,656259,558530,443458
2019,CE,Ceará,518941,257891,646986,552321,431768
2020,CE,Ceará,513413,261378,640693,545800,422621
2021,CE,Ceará,506804,257217,641415,535350,418455
2022,CE,Ceará,492044,256343,642417,526942,414107
2023,CE,Ceará,472045,259594,640799,519457,410195
2024,CE,Ceará,456015,254763,643575,512922,402688
2025,CE,Ceará,442557,244519,646745,509467,395410
2015,DF,Distrito Federal,174742,84418,210800,175214,138920
2016,DF,Distrito Federal,175946,83700,208297,172734,137928
2017,DF,Distrito Federal,175761,83599,205588,170830,136143
2018,DF,Distrito Federal,174995,84366,203384,168463,134005
2019,DF,Distrito Federal,172378,85472,202173,165949,132069
2020,DF,Distrito Federal,168147,85561,201804,163591,130398
2021,DF,Distrito Federal,162670,84031,202454,161081,129207
2022,DF,Distrito Federal,155265,83207,202794,159353,127367
2023,DF,Distrito Federal,147643,82256,202684,157830,125354
2024,DF,Distrito Federal,141893,78787,202356,156998,123156
2025,DF,Distrito Federal,137530,74190,200548,156875,121759
2015,ES,Espírito Santo,221024,106355,273276,236783,186149
2016,ES,Espírito Santo,222789,107862,269635,233875,184694
2017,ES,Espírito Santo,222953,108831,268615,230015,182298
2018,ES,Espírito Santo,223507,110214,269301,225503,179641
2019,ES,Espírito Santo,222109,112648,270227,221744,177307
2020,ES,Espírito Santo,220844,112769,272332,218518,175288
2021,ES,Espírito Santo,219256,110417,276588,216423,172209
2022,ES,Espírito Santo,214700,111046,278545,216593,168298
2023,ES,Espírito Santo,210473,112169,278957,217140,165147
2024,ES,Espírito Santo,207220,110130,280660,218186,163735
2025,ES,Espírito Santo,204148,107160,280871,220895,163026
2015,GO,Goiás,388593,185592,484855,422112,336187
2016,GO,Goiás,393829,189644,478274,417286,333943
2017,GO,Goiás,395918,191704,474970,413310,330209
2018,GO,Goiás,395804,195968,476061,407369,325936
2019,GO,Goiás,392555,202457,479058,401573,322260
2020,GO,Goiás,389073,203292,486590,395985,319083
2021,GO,Goiás,384843,199052,498154,389985,316541
2022,GO,Goiás,376680,198715,504625,389934,311639
2023,GO,Goiás,369163,200109,507605,392182,306845
2024,GO,Goiás,364212,196639,511523,396089,301781
2025,GO,Goiás,360052,190435,511521,404448,298884
2015,MA,Maranhão,478398,249568,672757,543899,408484
2016,MA,Maranhão,469757,244087,660193,538873,406242
2017,MA,Maranhão,461829,236632,640961,539570,402422
2018,MA,Maranhão,456875,231440,623301,536983,397555
2019,MA,Maranhão,451702,231268,605372,531278,393611
2020,MA,Maranhão,445356,227661,590212,523228,390447
2021,MA,Maranhão,440423,220019,580173,506555,392602
2022,MA,Maranhão,428185,219155,568475,491955,390993
2023,MA,Maranhão,409504,221966,556112,478581,386178
2024,MA,Maranhão,395648,216314,550965,464097,374165
2025,MA,Maranhão,381885,208308,546704,453570,362392
2015,MT,Mato Grosso,220162,104602,267737,216694,171996
2016,MT,Mato Grosso,223687,105754,268139,214959,170503
2017,MT,Mato Grosso,226414,107626,265766,217256,168526
2018,MT,Mato Grosso,229239,111109,267028,218044,166466
2019,MT,Mato Grosso,230970,115873,269848,218769,165270
2020,MT,Mato Grosso,233641,116459,274299,220488,164885
2021,MT,Mato Grosso,235716,115009,281519,218372,168106
2022,MT,Mato Grosso,235338,117653,286905,218740,169162
2023,MT,Mato Grosso,234324,120969,291147,220624,169772
2024,MT,Mato Grosso,234029,120831,297034,222374,168269
2025,MT,Mato Grosso,233933,119359,300963,227451,168326
2015,MS,Mato Grosso do Sul,173179,83175,210397,176231,133889
2016,MS,Mato Grosso do Sul,174417,84974,209425,175506,133359
2017,MS,Mato Grosso do Sul,175358,86042,209304,174789,132940
2018,MS,Mato Grosso do Sul,176289,86976,211733,172248,132659
2019,MS,Mato Grosso do Sul,175749,88697,213691,170363,132327
2020,MS,Mato Grosso do Sul,175050,88797,215567,169644,131820
2021,MS,Mato Grosso do Sul,173516,87930,219108,168374,131274
2022,MS,Mato Grosso do Sul,170058,88876,220902,169907,128852
2023,MS,Mato Grosso do Sul,166080,89293,221883,171716,127236
2024,MS,Mato Grosso do Sul,162736,87550,223631,172812,126626
2025,MS,Mato Grosso do Sul,159415,85421,224097,175312,127323
2015,MG,Minas Gerais,1051289,515594,1382935,1245334,999528
2016,MG,Minas Gerais,1051711,519994,1348100,1218203,984114
2017,MG,Minas Gerais,1047526,520622,1324072,1189823,964245
2018,MG,Minas Gerais,1044342,521881,1312640,1157732,943173
2019,MG,Minas Gerais,1034056,530543,1305295,1126952,923569
2020,MG,Minas Gerais,1024296,529555,1306253,1097356,904971
2021,MG,Minas Gerais,1012826,517322,1318352,1071236,884290
2022,MG,Minas Gerais,989004,516739,1320829,1058081,858467
2023,MG,Minas Gerais,962013,519591,1315694,1052224,833739
2024,MG,Minas Gerais,940229,509777,1316706,1050113,812709
2025,MG,Minas Gerais,921688,494148,1313082,1055868,797372
2015,PA,Pará,577202,292942,794453,654279,494078
2016,PA,Pará,574246,288458,778941,649007,492747
2017,PA,Pará,569236,283867,760978,645134,489470
2018,PA,Pará,563511,282879,742584,640265,484986
2019,PA,Pará,555694,285702,724072,634134,481019
2020,PA,Pará,547646,283277,711551,624869,477462
2021,PA,Pará,542929,275354,707420,608828,475070
2022,PA,Pará,533632,272543,701690,592706,471271
2023,PA,Pará,519221,273014,694147,576664,466344
2024,PA,Pará,508162,267571,690262,562704,457266
2025,PA,Pará,496118,261958,684268,557079,443730
2015,PB,Paraíba,229562,118961,311216,266304,202324
2016,PB,Paraíba,229210,116567,306213,263774,201315
2017,PB,Paraíba,228531,114014,301258,260708,200168
2018,PB,Paraíba,229812,113042,297774,255668,199059
2019,PB,Paraíba,229795,115004,294327,250312,197711
2020,PB,Paraíba,228615,115988,290651,246336,195910
2021,PB,Paraíba,228080,113797,289312,242679,193579
2022,PB,Paraíba,222516,114441,288186,240601,189240
2023,PB,Paraíba,214616,116728,286785,238338,184654
2024,PB,Paraíba,208693,114800,288656,234357,181638
2025,PB,Paraíba,202609,111796,290420,231276,180551
2015,PR,Paraná,622885,301558,781837,680428,541723
2016,PR,Paraná,629966,303323,773040,669350,534059
2017,PR,Paraná,631930,306518,766425,660373,525225
2018,PR,Paraná,629728,313657,765212,648995,516306
2019,PR,Paraná,623565,320554,768594,638258,508441
2020,PR,Paraná,616036,320311,776534,629965,501332
2021,PR,Paraná,604912,315660,787998,621803,495699
2022,PR,Paraná,589290,314580,795343,620241,486694
2023,PR,Paraná,573885,313666,800268,620980,478168
2024,PR,Paraná,561181,306911,803278,624350,470964
2025,PR,Paraná,551084,295942,799946,633076,468173
2015,PE,Pernambuco,567122,279943,739166,628689,487138
2016,PE,Pernambuco,561549,281398,725199,620114,483064
2017,PE,Pernambuco,552526,280983,713395,611441,476701
2018,PE,Pernambuco,548050,277761,707796,600734,469597
2019,PE,Pernambuco,539713,280046,701220,590977,463250
2020,PE,Pernambuco,532336,277936,695017,582062,457459
2021,PE,Pernambuco,526959,267145,696874,570877,451227
2022,PE,Pernambuco,511497,265515,693622,563553,442454
2023,PE,Pernambuco,491265,268352,682835,559240,434584
2024,PE,Pernambuco,474346,262364,678146,553891,428214
2025,PE,Pernambuco,458981,253681,673376,552427,421354
2015,PI,Piauí,190719,99233,271380,231349,176198
2016,PI,Piauí,188899,97603,264218,228443,175107
2017,PI,Piauí,188470,94591,257266,225463,173441
2018,PI,Piauí,189590,92386,250842,221956,171511
2019,PI,Piauí,189324,93654,244144,217610,169559
2020,PI,Piauí,187902,94333,238682,212701,167491
2021,PI,Piauí,186109,93003,236501,206649,165334
2022,PI,Piauí,181389,93729,234189,201248,162558
2023,PI,Piauí,175068,94882,232102,196563,158957
2024,PI,Piauí,170300,92684,233392,191206,154799
2025,PI,Piauí,165636,89636,234610,187646,150043
2015,RJ,Rio de Janeiro,900260,425904,1079011,945181,800108
2016,RJ,Rio de Janeiro,906592,431916,1068029,915826,779216
2017,RJ,Rio de Janeiro,903050,437210,1062384,893692,750265
2018,RJ,Rio de Janeiro,894266,443565,1063711,876448,718936
2019,RJ,Rio de Janeiro,872114,455122,1068362,863231,693746
2020,RJ,Rio de Janeiro,847855,454421,1079299,853001,675651
2021,RJ,Rio de Janeiro,822235,439183,1098345,844937,662566
2022,RJ,Rio de Janeiro,785628,431910,1107768,842525,651326
2023,RJ,Rio de Janeiro,748782,425657,1105400,845846,642050
2024,RJ,Rio de Janeiro,719631,408311,1102277,851695,635306
2025,RJ,Rio de Janeiro,697679,388206,1087436,863819,630963
2015,RN,Rio Grande do Norte,193007,96903,254376,214809,172034
2016,RN,Rio Grande do Norte,191814,96395,250811,210798,169171
2017,RN,Rio Grande do Norte,189708,95438,246131,208816,165416
2018,RN,Rio Grande do Norte,188532,94617,243803,205632,161336
2019,RN,Rio Grande do Norte,186244,95781,241060,202946,157943
2020,RN,Rio Grande do Norte,183219,95508,238321,201099,155347
2021,RN,Rio Grande do Norte,180665,92430,238245,197001,154570
2022,RN,Rio Grande do Norte,175102,91801,237213,194761,152265
2023,RN,Rio Grande do Norte,167697,92717,234409,192931,150234
2024,RN,Rio Grande do Norte,162047,90252,233599,190060,147734
2025,RN,Rio Grande do Norte,157013,86623,232522,188872,145958
2015,RS,Rio Grande do Sul,562819,264866,698053,632557,507518
2016,RS,Rio Grande do Sul,568918,270658,680263,617745,498840
2017,RS,Rio Grande do Sul,569067,275603,668864,602584,488006
2018,RS,Rio Grande do Sul,566194,278903,668158,583326,476588
2019,RS,Rio Grande do Sul,556688,284083,672406,564096,465686
2020,RS,Rio Grande do Sul,544401,286436,679179,547941,455134
2021,RS,Rio Grande do Sul,531169,281332,691636,533914,443962
2022,RS,Rio Grande do Sul,513190,276681,700556,529964,428216
2023,RS,Rio Grande do Sul,496672,272754,702185,532800,412576
2024,RS,Rio Grande do Sul,482928,264918,701652,537782,400683
2025,RS,Rio Grande do Sul,470903,255214,696064,546552,394537
2015,RO,Rondônia,110108,55248,138305,119838,91926
2016,RO,Rondônia,109078,55375,136238,118290,91191
2017,RO,Rondônia,108374,54438,135448,115994,90274
2018,RO,Rondônia,108064,53768,135497,113002,89307
2019,RO,Rondônia,107464,54055,135384,109822,88232
2020,RO,Rondônia,106513,53612,135022,107584,86988
2021,RO,Rondônia,105194,52630,134686,106524,85050
2022,RO,Rondônia,102587,52892,133459,106738,82440
2023,RO,Rondônia,99279,53390,131952,107437,79727
2024,RO,Rondônia,96552,52103,131901,106920,78526
2025,RO,Rondônia,94197,50159,131564,106394,78504
2015,RR,Roraima,46296,21687,55720,46149,34564
2016,RR,Roraima,47146,22275,55538,46242,34948
2017,RR,Roraima,47902,23173,55897,46197,35139
2018,RR,Roraima,49821,24122,57273,46392,35428
2019,RR,Roraima,53202,25064,59240,47088,35942
2020,RR,Roraima,55704,25602,60944,47483,36227
2021,RR,Roraima,56838,25867,62499,47606,36075
2022,RR,Roraima,57181,27055,64273,48195,35998
2023,RR,Roraima,56058,29350,66043,49124,36276
2024,RR,Roraima,55171,30445,68203,50427,36798
2025,RR,Roraima,54831,29795,71341,52188,37234
2015,SC,Santa Catarina,370863,177572,446719,379240,323653
2016,SC,Santa Catarina,379187,182946,450649,372068,316946
2017,SC,Santa Catarina,386762,187087,454046,372045,308135
2018,SC,Santa Catarina,394494,190995,462303,373085,299045
2019,SC,Santa Catarina,398936,197344,472012,376141,292805
2020,SC,Santa Catarina,401522,202766,482758,380839,289731
2021,SC,Santa Catarina,402529,205044,496910,382323,292608
2022,SC,Santa Catarina,400939,208204,509497,388238,294969
2023,SC,Santa Catarina,399373,210683,519903,396446,298076
2024,SC,Santa Catarina,397298,210049,531011,404741,298981
2025,SC,Santa Catarina,395568,208230,539647,414951,301838
2015,SP,São Paulo,2459419,1197111,3028360,2568748,2040704
2016,SP,São Paulo,2460587,1210947,3000614,2532261,2018145
2017,SP,São Paulo,2449433,1217512,2988026,2499019,1982771
2018,SP,São Paulo,2435760,1219417,2995066,2462315,1943359
2019,SP,São Paulo,2399633,1232128,3003635,2430475,1911350
2020,SP,São Paulo,2352300,1229182,3016129,2404396,1887639
2021,SP,São Paulo,2287915,1204518,3041738,2385105,1864806
2022,SP,São Paulo,2197661,1195727,3047848,2385132,1835214
2023,SP,São Paulo,2108743,1186014,3034612,2394920,1808982
2024,SP,São Paulo,2036286,1146505,3025525,2404041,1792601
2025,SP,São Paulo,1981629,1089846,3000810,2419061,1786751
2015,SE,Sergipe,136008,68267,179341,149767,120591
2016,SE,Sergipe,135058,68018,177088,146878,118589
